Consulta estado de cuenta del contrato:|19619|Usuario:|hhuanca|Fecha y hora:|25/10/2021 15:21:36|Equipo|:192.168.14.2
Imprime estado de cuenta del contrato:|19647|Usuario:|cmercado|Fecha y hora:|25/10/2021 15:21:39|Equipo|:192.168.14.28
Consulta estado de cuenta del contrato:|17578|Usuario:|cmercado|Fecha y hora:|25/10/2021 15:23:16|Equipo|:192.168.14.28
Imprime estado de cuenta del contrato:|17578|Usuario:|cmercado|Fecha y hora:|25/10/2021 15:23:38|Equipo|:192.168.14.28
Consulta estado de cuenta del contrato:|16501|Usuario:|hhuanca|Fecha y hora:|25/10/2021 15:23:39|Equipo|:192.168.14.2
Consulta estado de cuenta del contrato:|17569|Usuario:|cmercado|Fecha y hora:|25/10/2021 15:24:16|Equipo|:192.168.14.28
Imprime estado de cuenta del contrato:|17569|Usuario:|cmercado|Fecha y hora:|25/10/2021 15:24:29|Equipo|:192.168.14.28
Consulta estado de cuenta del contrato:|26302|Usuario:|cmercado|Fecha y hora:|25/10/2021 15:39:36|Equipo|:192.168.14.28
Consulta estado de cuenta del contrato:|13953|Usuario:|cmercado|Fecha y hora:|25/10/2021 15:44:45|Equipo|:192.168.14.28
Consulta estado de cuenta del contrato:|25510|Usuario:|cmercado|Fecha y hora:|25/10/2021 16:02:38|Equipo|:192.168.14.28
Imprime estado de cuenta del contrato:|25510|Usuario:|cmercado|Fecha y hora:|25/10/2021 16:02:53|Equipo|:192.168.14.28
Consulta estado de cuenta del contrato:|17822|Usuario:|cmercado|Fecha y hora:|25/10/2021 16:09:57|Equipo|:192.168.14.28
Imprime estado de cuenta del contrato:|17822|Usuario:|cmercado|Fecha y hora:|25/10/2021 16:11:39|Equipo|:192.168.14.28
Consulta estado de cuenta del contrato:|22829|Usuario:|SMAMANI|Fecha y hora:|25/10/2021 16:11:40|Equipo|:192.168.14.3
Consulta estado de cuenta del contrato:|28641|Usuario:|MJAUREGUI|Fecha y hora:|25/10/2021 16:16:52|Equipo|:192.168.12.4
Consulta estado de cuenta del contrato:|27856|Usuario:|cmercado|Fecha y hora:|25/10/2021 16:34:42|Equipo|:192.168.14.28
Consulta estado de cuenta del contrato:|10187|Usuario:|SMAMANI|Fecha y hora:|25/10/2021 17:48:47|Equipo|:192.168.14.3
Consulta estado de cuenta del contrato:|9925978|Usuario:|ebarron|Fecha y hora:|25/10/2021 20:57:52|Equipo|:172.16.100.2
